"subject_id","activity","mean","sd"
1,"WALKING",0.306286781584067,0.338673543973176
1,"WALKING_UPSTAIRS",0.334786511109199,0.418399867245902
1,"WALKING_DOWNSTAIRS",0.305706151734747,0.320407073876667
1,"SITTING",0.395421440052849,0.62067278347751
1,"STANDING",0.394278416809013,0.632012242528691
1,"LAYING",0.39024909083083,0.597907848596994
2,"WALKING",0.324668544232229,0.39830884572705
2,"WALKING_UPSTAIRS",0.319372482699955,0.379026401551365
2,"WALKING_DOWNSTAIRS",0.307983077403094,0.289852938774918
2,"SITTING",0.390392436357198,0.625413777082684
2,"STANDING",0.389447556933068,0.621752402702837
2,"LAYING",0.394193064148952,0.625818962327263
3,"WALKING",0.323990573786814,0.399103469887392
3,"WALKING_UPSTAIRS",0.33562046388033,0.43291582643836
3,"WALKING_DOWNSTAIRS",0.320914110491073,0.368260465658086
3,"SITTING",0.387691552364209,0.609984487051014
3,"STANDING",0.38116045009652,0.611763582486528
3,"LAYING",0.387059763734065,0.625307550842079
4,"WALKING",0.337632728452035,0.438608215697236
4,"WALKING_UPSTAIRS",0.334121167015815,0.425084347582761
4,"WALKING_DOWNSTAIRS",0.330699185770175,0.381614946726832
4,"SITTING",0.385203455687445,0.612951961100907
4,"STANDING",0.384151650138962,0.605662396131173
4,"LAYING",0.390603901850498,0.617395643127973
5,"WALKING",0.323682911838751,0.392127406860454
5,"WALKING_UPSTAIRS",0.3211863200908,0.373143055643472
5,"WALKING_DOWNSTAIRS",0.320212907230142,0.323658002162942
5,"SITTING",0.385859749280141,0.613061370444631
5,"STANDING",0.381841413862431,0.605298810098501
5,"LAYING",0.393993954305293,0.61899384100251
6,"WALKING",0.31439311885288,0.355889786862039
6,"WALKING_UPSTAIRS",0.314840824347671,0.350306277105602
6,"WALKING_DOWNSTAIRS",0.309102164151193,0.23979349395781
6,"SITTING",0.383777966706653,0.611229207878061
6,"STANDING",0.381977858742699,0.613973756671496
6,"LAYING",0.385896572529006,0.606716455286384
7,"WALKING",0.308591190913156,0.329008797110884
7,"WALKING_UPSTAIRS",0.333341818062962,0.434958911254626
7,"WALKING_DOWNSTAIRS",0.318640715560636,0.34003388882749
7,"SITTING",0.388875477812411,0.615299441909196
7,"STANDING",0.38487228399758,0.61835174815481
7,"LAYING",0.392381642772461,0.615671820350752
8,"WALKING",0.308933516064443,0.32328542749402
8,"WALKING_UPSTAIRS",0.310780770711348,0.318450200017379
8,"WALKING_DOWNSTAIRS",0.296904515062776,0.232358211934548
8,"SITTING",0.390675574485,0.623103686622995
8,"STANDING",0.390764804776773,0.624564533843773
8,"LAYING",0.394201009559817,0.615123005533023
9,"WALKING",0.320506255527847,0.385649987122122
9,"WALKING_UPSTAIRS",0.334447484020582,0.434951439423412
9,"WALKING_DOWNSTAIRS",0.319614548387422,0.336965782541646
9,"SITTING",0.381545475523736,0.612418467736036
9,"STANDING",0.383110792145451,0.617943827102128
9,"LAYING",0.385010446617483,0.613989853439023
10,"WALKING",0.311038869797931,0.34643824257799
10,"WALKING_UPSTAIRS",0.315270749869178,0.362845501251334
10,"WALKING_DOWNSTAIRS",0.306900166348758,0.292477067020501
10,"SITTING",0.39355987054565,0.625752071103998
10,"STANDING",0.383255504635879,0.615636903154774
10,"LAYING",0.390410606013115,0.619626154802513
11,"WALKING",0.333107275076172,0.438181096421779
11,"WALKING_UPSTAIRS",0.343640769959474,0.443974904542443
11,"WALKING_DOWNSTAIRS",0.324110368332552,0.367529355513355
11,"SITTING",0.389433054994624,0.621439562243588
11,"STANDING",0.39076830727083,0.631947286801685
11,"LAYING",0.392296672084283,0.628323921471251
12,"WALKING",0.318035931911734,0.37172413429908
12,"WALKING_UPSTAIRS",0.333494720116587,0.430342970244693
12,"WALKING_DOWNSTAIRS",0.321419605141066,0.336036600406981
12,"SITTING",0.383498320845071,0.620181925821792
12,"STANDING",0.385014393277854,0.613410619706995
12,"LAYING",0.384375367000184,0.615255571183163
13,"WALKING",0.310975499977553,0.338057452286537
13,"WALKING_UPSTAIRS",0.333171298935551,0.421806666951014
13,"WALKING_DOWNSTAIRS",0.312411670664431,0.338609631951083
13,"SITTING",0.393855322574464,0.624250227968905
13,"STANDING",0.389215569899517,0.624051129445358
13,"LAYING",0.398873348198394,0.614001385196587
14,"WALKING",0.317612352386083,0.396425847477221
14,"WALKING_UPSTAIRS",0.338580822825346,0.318658126919926
14,"WALKING_DOWNSTAIRS",0.307618399581854,0.243124901340857
14,"SITTING",0.384966107475558,0.623544450211379
14,"STANDING",0.385741145817303,0.618629678699852
14,"LAYING",0.384979815781696,0.613834065606277
15,"WALKING",0.324671774722061,0.402301147836538
15,"WALKING_UPSTAIRS",0.331297799712783,0.406555408464678
15,"WALKING_DOWNSTAIRS",0.318068338969312,0.30932424002508
15,"SITTING",0.390603613367892,0.626209196005051
15,"STANDING",0.387333279552197,0.624206900445838
15,"LAYING",0.386909377086375,0.623976513123165
16,"WALKING",0.332673442094949,0.438072763644148
16,"WALKING_UPSTAIRS",0.338432399787276,0.446746729535501
16,"WALKING_DOWNSTAIRS",0.325009948127333,0.359763956605598
16,"SITTING",0.392825328912674,0.627376061530344
16,"STANDING",0.390472743266463,0.630354536126029
16,"LAYING",0.392255267596421,0.621978964184421
17,"WALKING",0.324558303943942,0.399385039134162
17,"WALKING_UPSTAIRS",0.330928659417076,0.412853381227409
17,"WALKING_DOWNSTAIRS",0.329261042995772,0.38242915274444
17,"SITTING",0.396860917565749,0.629559243966585
17,"STANDING",0.393513731460524,0.629548757100986
17,"LAYING",0.393626422669913,0.617316497775868
18,"WALKING",0.331270066944616,0.441827385790082
18,"WALKING_UPSTAIRS",0.344525091475096,0.473521104070631
18,"WALKING_DOWNSTAIRS",0.337936123233184,0.445398052974106
18,"SITTING",0.389871026567184,0.633275227983005
18,"STANDING",0.387332325452838,0.628747582586318
18,"LAYING",0.392659994950968,0.62964380341298
19,"WALKING",0.290973352668087,0.267977045188013
19,"WALKING_UPSTAIRS",0.309212337877636,0.337486195258799
19,"WALKING_DOWNSTAIRS",0.305819891049224,0.151019433885125
19,"SITTING",0.38731644114035,0.623332614316094
19,"STANDING",0.386871614306206,0.624177397842646
19,"LAYING",0.39536801770685,0.620326090241073
20,"WALKING",0.303588239895674,0.288654706688927
20,"WALKING_UPSTAIRS",0.316906874192051,0.357141961901759
20,"WALKING_DOWNSTAIRS",0.310243307384478,0.280039704526536
20,"SITTING",0.384796623671684,0.623455239261502
20,"STANDING",0.380227567222932,0.605906469586512
20,"LAYING",0.388033138167102,0.627942708285742
21,"WALKING",0.313239159655692,0.349922921947604
21,"WALKING_UPSTAIRS",0.325369546043742,0.395379718821249
21,"WALKING_DOWNSTAIRS",0.317228612008292,0.318295026531681
21,"SITTING",0.389177556041492,0.628537567769009
21,"STANDING",0.38480345841448,0.622278450833311
21,"LAYING",0.39332345018439,0.618263891334849
22,"WALKING",0.306035531386947,0.301412206977977
22,"WALKING_UPSTAIRS",0.314626091391225,0.329165055125344
22,"WALKING_DOWNSTAIRS",0.318089634280589,0.315490841448164
22,"SITTING",0.386758177063865,0.61907899049882
22,"STANDING",0.385742295562821,0.620469877843467
22,"LAYING",0.387804291190296,0.617753408581368
23,"WALKING",0.307580381503017,0.294410513097097
23,"WALKING_UPSTAIRS",0.320230398190364,0.383871970343847
23,"WALKING_DOWNSTAIRS",0.297049862060338,0.239804328477763
23,"SITTING",0.393298315985703,0.619694928397405
23,"STANDING",0.386506231662633,0.621510238187828
23,"LAYING",0.397946738557747,0.616884426771472
24,"WALKING",0.329230906329984,0.425318358794406
24,"WALKING_UPSTAIRS",0.331368679536477,0.441463782951252
24,"WALKING_DOWNSTAIRS",0.322659544299339,0.375766909410449
24,"SITTING",0.384987513093268,0.629090765099487
24,"STANDING",0.387636507209667,0.619440640895897
24,"LAYING",0.392642402718556,0.620661140212824
25,"WALKING",0.339091692281466,0.464051555480617
25,"WALKING_UPSTAIRS",0.347882136867331,0.4866218641445
25,"WALKING_DOWNSTAIRS",0.33451994304333,0.437329192109664
25,"SITTING",0.389244951480004,0.62903687242535
25,"STANDING",0.385801196907921,0.628193393454488
25,"LAYING",0.390304772135539,0.582974468592453
26,"WALKING",0.321294525422209,0.402709810661514
26,"WALKING_UPSTAIRS",0.332418334264388,0.421699112524757
26,"WALKING_DOWNSTAIRS",0.315344053386741,0.343660780294031
26,"SITTING",0.39137889568398,0.627389163527632
26,"STANDING",0.388801993354692,0.627850018235304
26,"LAYING",0.395604807265865,0.626746419835403
27,"WALKING",0.321878432483621,0.391056772779334
27,"WALKING_UPSTAIRS",0.337898585182737,0.435119133162231
27,"WALKING_DOWNSTAIRS",0.318652725949221,0.336156965319085
27,"SITTING",0.389321629467444,0.630730844287859
27,"STANDING",0.389658023775581,0.628349054784689
27,"LAYING",0.392808367379862,0.630469952495344
28,"WALKING",0.32329073504306,0.404667529708442
28,"WALKING_UPSTAIRS",0.327367977928579,0.411709083633054
28,"WALKING_DOWNSTAIRS",0.309382995839742,0.316680400119529
28,"SITTING",0.381987378573303,0.62066094818353
28,"STANDING",0.378861292827527,0.612082907134151
28,"LAYING",0.38680049473568,0.624476611363741
29,"WALKING",0.314027390620416,0.368543565136708
29,"WALKING_UPSTAIRS",0.3304667982201,0.382088178730495
29,"WALKING_DOWNSTAIRS",0.314591229948687,0.339161734059461
29,"SITTING",0.392803455343557,0.62890061190528
29,"STANDING",0.390966411490706,0.633545185477468
29,"LAYING",0.397304959112913,0.631835260189444
30,"WALKING",0.31556339019842,0.386075124823322
30,"WALKING_UPSTAIRS",0.3409498333934,0.446714932555083
30,"WALKING_DOWNSTAIRS",0.317520503155533,0.374274060439704
30,"SITTING",0.388494771335567,0.629439006226445
30,"STANDING",0.383799029466956,0.61556077560088
30,"LAYING",0.385831882395686,0.625986739970746
